X,Y,time_period
0.0,597.0,April 2019
1.0,518.0,April 2019
2.0,416.0,April 2019
3.0,522.0,April 2019
4.0,857.0,April 2019
5.0,2308.0,April 2019
6.0,4988.0,April 2019
7.0,6309.0,April 2019
8.0,4980.0,April 2019
9.0,3863.0,April 2019
11.0,3904.0,April 2019
12.0,3952.0,April 2019
13.0,4286.0,April 2019
14.0,5221.0,April 2019
15.0,6645.0,April 2019
16.0,6368.0,April 2019
17.0,4947.0,April 2019
18.0,3821.0,April 2019
19.0,3126.0,April 2019
4.0,722.0,April 2019
5.0,2195.0,April 2019
6.0,4995.0,April 2019
8.0,5292.0,April 2019
9.0,3740.0,April 2019
12.0,3917.0,April 2019
13.0,4456.0,April 2019
14.0,5156.0,April 2019
15.0,6388.0,April 2019
16.0,5444.0,April 2019
17.0,4273.0,April 2019
18.0,3722.0,April 2019
19.0,3227.0,April 2019
21.0,1613.0,April 2019
22.0,1125.0,April 2019
3.0,450.0,April 2019
4.0,702.0,April 2019
5.0,2117.0,April 2019
6.0,5003.0,April 2019
7.0,5894.0,April 2019
8.0,5017.0,April 2019
9.0,3907.0,April 2019
10.0,3778.0,April 2019
11.0,3854.0,April 2019
12.0,4110.0,April 2019
13.0,4497.0,April 2019
14.0,5578.0,April 2019
15.0,6744.0,April 2019
16.0,6542.0,April 2019
17.0,5165.0,April 2019
18.0,3990.0,April 2019
19.0,3342.0,April 2019
20.0,2384.0,April 2019
21.0,1613.0,April 2019
22.0,1200.0,April 2019
23.0,771.0,April 2019
0.0,514.0,April 2019
4.0,707.0,April 2019
5.0,2138.0,April 2019
6.0,5027.0,April 2019
7.0,6331.0,April 2019
8.0,5032.0,April 2019
9.0,3894.0,April 2019
10.0,3847.0,April 2019
11.0,4012.0,April 2019
13.0,4498.0,April 2019
14.0,5615.0,April 2019
15.0,6640.0,April 2019
16.0,6533.0,April 2019
17.0,5098.0,April 2019
18.0,4087.0,April 2019
19.0,3384.0,April 2019
20.0,2467.0,April 2019
21.0,1603.0,April 2019
22.0,1295.0,April 2019
23.0,912.0,April 2019
0.0,575.0,April 2019
1.0,412.0,April 2019
2.0,406.0,April 2019
3.0,494.0,April 2019
4.0,742.0,April 2019
5.0,2118.0,April 2019
6.0,4840.0,April 2019
7.0,5867.0,April 2019
8.0,4978.0,April 2019
9.0,4026.0,April 2019
10.0,4169.0,April 2019
11.0,4331.0,April 2019
12.0,4687.0,April 2019
15.0,4624.0,April 2019
16.0,4367.0,April 2019
17.0,4704.0,April 2019
18.0,4258.0,April 2019
19.0,3616.0,April 2019
20.0,2873.0,April 2019
21.0,1984.0,April 2019
22.0,1540.0,April 2019
23.0,1173.0,April 2019
0.0,858.0,April 2019
1.0,677.0,April 2019
2.0,587.0,April 2019
3.0,549.0,April 2019
5.0,1076.0,April 2019
6.0,1831.0,April 2019
7.0,2488.0,April 2019
8.0,3172.0,April 2019
9.0,3865.0,April 2019
10.0,4142.0,April 2019
11.0,4080.0,April 2019
12.0,4089.0,April 2019
13.0,3960.0,April 2019
14.0,3836.0,April 2019
15.0,3819.0,April 2019
16.0,3731.0,April 2019
17.0,3614.0,April 2019
19.0,3180.0,April 2019
20.0,2579.0,April 2019
21.0,1715.0,April 2019
22.0,1203.0,April 2019
23.0,847.0,April 2019
0.0,624.0,April 2019
1.0,508.0,April 2019
2.0,369.0,April 2019
16.0,3567.0,April 2019
17.0,3485.0,April 2019
18.0,3545.0,April 2019
21.0,1751.0,April 2019
22.0,1273.0,April 2019
23.0,852.0,April 2019
0.0,606.0,April 2019
1.0,500.0,April 2019
2.0,420.0,April 2019
3.0,563.0,April 2019
4.0,847.0,April 2019
5.0,2316.0,April 2019
6.0,4965.0,April 2019
7.0,5908.0,April 2019
8.0,4957.0,April 2019
10.0,3727.0,April 2019
12.0,4012.0,April 2019
13.0,4230.0,April 2019
14.0,5077.0,April 2019
15.0,6538.0,April 2019
16.0,6155.0,April 2019
17.0,4923.0,April 2019
18.0,3786.0,April 2019
4.0,742.0,April 2019
5.0,2127.0,April 2019
6.0,5018.0,April 2019
7.0,6232.0,April 2019
8.0,5141.0,April 2019
9.0,4026.0,April 2019
10.0,3760.0,April 2019
11.0,3901.0,April 2019
12.0,3848.0,April 2019
13.0,4459.0,April 2019
14.0,5369.0,April 2019
15.0,6721.0,April 2019
16.0,6331.0,April 2019
17.0,4838.0,April 2019
18.0,3861.0,April 2019
19.0,3225.0,April 2019
20.0,2378.0,April 2019
21.0,1580.0,April 2019
3.0,451.0,April 2019
4.0,721.0,April 2019
5.0,2158.0,April 2019
6.0,4764.0,April 2019
7.0,6064.0,April 2019
9.0,3924.0,April 2019
10.0,3864.0,April 2019
11.0,4001.0,April 2019
12.0,4208.0,April 2019
13.0,4542.0,April 2019
14.0,5377.0,April 2019
15.0,6780.0,April 2019
16.0,6191.0,April 2019
17.0,5320.0,April 2019
18.0,4091.0,April 2019
19.0,3358.0,April 2019
20.0,2360.0,April 2019
22.0,1293.0,April 2019
23.0,735.0,April 2019
1.0,390.0,April 2019
2.0,372.0,April 2019
3.0,463.0,April 2019
4.0,756.0,April 2019
5.0,2154.0,April 2019
6.0,4727.0,April 2019
7.0,5737.0,April 2019
8.0,5151.0,April 2019
9.0,4479.0,April 2019
10.0,4034.0,April 2019
11.0,4134.0,April 2019
12.0,4354.0,April 2019
13.0,4753.0,April 2019
14.0,5556.0,April 2019
15.0,6583.0,April 2019
16.0,6263.0,April 2019
17.0,5024.0,April 2019
18.0,4163.0,April 2019
19.0,3366.0,April 2019
20.0,2560.0,April 2019
21.0,1812.0,April 2019
22.0,1420.0,April 2019
23.0,877.0,April 2019
0.0,654.0,April 2019
1.0,485.0,April 2019
2.0,485.0,April 2019
3.0,596.0,April 2019
4.0,925.0,April 2019
5.0,2268.0,April 2019
6.0,4825.0,April 2019
7.0,5985.0,April 2019
8.0,5065.0,April 2019
9.0,4396.0,April 2019
10.0,4354.0,April 2019
11.0,4463.0,April 2019
12.0,4882.0,April 2019
15.0,5793.0,April 2019
16.0,5528.0,April 2019
17.0,4285.0,April 2019
18.0,4143.0,April 2019
19.0,3785.0,April 2019
22.0,2020.0,April 2019
4.0,919.0,April 2019
5.0,1534.0,April 2019
6.0,2287.0,April 2019
7.0,2924.0,April 2019
8.0,3500.0,April 2019
9.0,3980.0,April 2019
10.0,4326.0,April 2019
11.0,4383.0,April 2019
12.0,4350.0,April 2019
13.0,4344.0,April 2019
14.0,4315.0,April 2019
15.0,4049.0,April 2019
16.0,3973.0,April 2019
17.0,4008.0,April 2019
18.0,3872.0,April 2019
19.0,3443.0,April 2019
20.0,2970.0,April 2019
21.0,2126.0,April 2019
22.0,1345.0,April 2019
23.0,964.0,April 2019
0.0,832.0,April 2019
1.0,652.0,April 2019
2.0,514.0,April 2019
3.0,456.0,April 2019
14.0,3908.0,April 2019
15.0,3782.0,April 2019
16.0,3752.0,April 2019
17.0,3678.0,April 2019
18.0,3809.0,April 2019
19.0,3516.0,April 2019
20.0,2477.0,April 2019
21.0,1836.0,April 2019
22.0,1392.0,April 2019
23.0,885.0,April 2019
0.0,559.0,April 2019
1.0,467.0,April 2019
2.0,472.0,April 2019
3.0,562.0,April 2019
4.0,929.0,April 2019
6.0,5248.0,April 2019
7.0,6177.0,April 2019
8.0,5324.0,April 2019
9.0,3965.0,April 2019
10.0,4022.0,April 2019
11.0,4097.0,April 2019
12.0,4162.0,April 2019
13.0,4714.0,April 2019
14.0,5439.0,April 2019
17.0,5065.0,April 2019
18.0,4074.0,April 2019
19.0,3296.0,April 2019
20.0,2475.0,April 2019
21.0,1609.0,April 2019
22.0,1271.0,April 2019
0.0,500.0,April 2019
1.0,395.0,April 2019
2.0,380.0,April 2019
3.0,507.0,April 2019
4.0,801.0,April 2019
5.0,2235.0,April 2019
6.0,5185.0,April 2019
8.0,5163.0,April 2019
9.0,4174.0,April 2019
10.0,3903.0,April 2019
11.0,4095.0,April 2019
12.0,4311.0,April 2019
13.0,4704.0,April 2019
14.0,5601.0,April 2019
15.0,6581.0,April 2019
16.0,6536.0,April 2019
17.0,5082.0,April 2019
