X,Y,time_period
0.0,597.0,workdays April 2019
1.0,518.0,workdays April 2019
2.0,416.0,workdays April 2019
3.0,522.0,workdays April 2019
4.0,857.0,workdays April 2019
5.0,2308.0,workdays April 2019
6.0,4988.0,workdays April 2019
7.0,6309.0,workdays April 2019
8.0,4980.0,workdays April 2019
11.0,3904.0,workdays April 2019
14.0,5221.0,workdays April 2019
15.0,6645.0,workdays April 2019
16.0,6368.0,workdays April 2019
17.0,4947.0,workdays April 2019
4.0,722.0,workdays April 2019
5.0,2195.0,workdays April 2019
6.0,4995.0,workdays April 2019
7.0,6395.0,workdays April 2019
8.0,5292.0,workdays April 2019
14.0,5156.0,workdays April 2019
15.0,6388.0,workdays April 2019
16.0,5444.0,workdays April 2019
19.0,3227.0,workdays April 2019
21.0,1613.0,workdays April 2019
22.0,1125.0,workdays April 2019
6.0,5003.0,workdays April 2019
7.0,5894.0,workdays April 2019
8.0,5017.0,workdays April 2019
9.0,3907.0,workdays April 2019
10.0,3778.0,workdays April 2019
12.0,4110.0,workdays April 2019
13.0,4497.0,workdays April 2019
14.0,5578.0,workdays April 2019
15.0,6744.0,workdays April 2019
16.0,6542.0,workdays April 2019
17.0,5165.0,workdays April 2019
18.0,3990.0,workdays April 2019
19.0,3342.0,workdays April 2019
20.0,2384.0,workdays April 2019
21.0,1613.0,workdays April 2019
22.0,1200.0,workdays April 2019
23.0,771.0,workdays April 2019
0.0,514.0,workdays April 2019
1.0,364.0,workdays April 2019
5.0,2138.0,workdays April 2019
6.0,5027.0,workdays April 2019
7.0,6331.0,workdays April 2019
8.0,5032.0,workdays April 2019
9.0,3894.0,workdays April 2019
10.0,3847.0,workdays April 2019
11.0,4012.0,workdays April 2019
13.0,4498.0,workdays April 2019
14.0,5615.0,workdays April 2019
15.0,6640.0,workdays April 2019
16.0,6533.0,workdays April 2019
17.0,5098.0,workdays April 2019
18.0,4087.0,workdays April 2019
19.0,3384.0,workdays April 2019
20.0,2467.0,workdays April 2019
21.0,1603.0,workdays April 2019
22.0,1295.0,workdays April 2019
23.0,912.0,workdays April 2019
0.0,575.0,workdays April 2019
1.0,412.0,workdays April 2019
2.0,406.0,workdays April 2019
3.0,494.0,workdays April 2019
4.0,742.0,workdays April 2019
5.0,2118.0,workdays April 2019
6.0,4840.0,workdays April 2019
7.0,5867.0,workdays April 2019
8.0,4978.0,workdays April 2019
9.0,4026.0,workdays April 2019
10.0,4169.0,workdays April 2019
11.0,4331.0,workdays April 2019
12.0,4687.0,workdays April 2019
14.0,6446.0,workdays April 2019
18.0,4258.0,workdays April 2019
19.0,3616.0,workdays April 2019
20.0,2873.0,workdays April 2019
21.0,1984.0,workdays April 2019
22.0,1540.0,workdays April 2019
23.0,1173.0,workdays April 2019
0.0,606.0,workdays April 2019
1.0,500.0,workdays April 2019
2.0,420.0,workdays April 2019
3.0,563.0,workdays April 2019
4.0,847.0,workdays April 2019
5.0,2316.0,workdays April 2019
6.0,4965.0,workdays April 2019
7.0,5908.0,workdays April 2019
12.0,4012.0,workdays April 2019
15.0,6538.0,workdays April 2019
16.0,6155.0,workdays April 2019
17.0,4923.0,workdays April 2019
4.0,742.0,workdays April 2019
5.0,2127.0,workdays April 2019
6.0,5018.0,workdays April 2019
7.0,6232.0,workdays April 2019
8.0,5141.0,workdays April 2019
9.0,4026.0,workdays April 2019
13.0,4459.0,workdays April 2019
14.0,5369.0,workdays April 2019
15.0,6721.0,workdays April 2019
16.0,6331.0,workdays April 2019
17.0,4838.0,workdays April 2019
