time_period,model_type,n_components,amplitude,mesor,peaks,heights,amplitude_CIs,mesor_CIs,peaks_CIs,heights_CIs,AIC,BIC,log_likelihood,p
April 2019,gen_poisson,7.0,2498.82,3040.38,[ 7.01 15.22],[4915.05 5539.2 ],[2384.96 2633.13],[2921.41 3170.27],"[[ 6.71  7.3 ]
 [14.86 15.57]]","[[4521.15 5283.  ]
 [5308.81 5800.96]]",7642.861868902958,7710.4230891921,-3805.430934451479,1.1102230246251565e-16
November 2019,gen_poisson,5.0,2616.01,3063.86,[ 7.31 15.32],[4450.6  5679.88],[2500.21 2753.37],[2959.94 3210.82],"[[ 7.09  7.71]
 [15.16 15.57]]","[[4257.47 4675.81]
 [5461.16 5963.18]]",7749.033291484315,7799.704206701172,-3862.5166457421574,1.1102230246251565e-16
April 2020,gen_poisson,5.0,1065.9,1241.1,[ 6.71 11.91 14.91],[1933.02 2042.   2307.  ],[ 986.88 1177.11],[1168.92 1338.77],"[[ 6.55  6.98]
 [10.95 12.02]
 [14.33 15.48]]","[[1703.3  2220.23]
 [1932.34 2167.57]
 [2137.49 2521.44]]",7302.537246698079,7353.231947849383,-3639.2686233490394,1.1102230246251565e-16
November 2020,gen_poisson,5.0,1118.82,1371.95,[ 7.41 12.21 15.92],[2445.32 2057.38 2490.77],[1063.59 1195.77],[1314.95 1450.68],"[[ 7.29  7.59]
 [11.64 12.68]
 [15.73 16.15]]","[[2265.88 2633.63]
 [1993.53 2139.28]
 [2339.28 2597.44]]",11679.04522641235,11735.716783950616,-5827.522613206175,1.1102230246251565e-16
