,model_type,n_components,amplitude,mesor,peaks,heights,p,RSS,AIC,BIC,log_likelihood,logs,mean(est),Y(est)
36,nb,7,2551.54,3043.02,[ 7.01 15.32],[4723.15 5594.55],1.1102230246251565e-16,1731118398.660782,78549.98191020486,78654.83831213549,-39258.99095510243,"[ -6.69544788  -6.7781057   -6.27242882 ... -19.85870765  -7.65142322
  -7.50494955]",3057.6755675866452,"[ 537.96570746  492.95315732  533.83205179 ... 4723.40300728 4259.65269113
 4504.22917011]"
37,nb,8,2540.17,3038.77,[ 7.01 15.22],[4695.44 5578.94],1.1102230246251565e-16,1730294591.0916297,78549.08515975224,78667.04861192418,-39256.54257987612,"[ -6.72290758  -6.75707011  -6.27645651 ... -19.63530217  -7.66232816
  -7.48275949]",3057.5705062988454,"[ 529.1087981   498.60528412  539.95053748 ... 4695.73212333 4268.03704467
 4475.52569574]"
38,nb,9,2540.94,3040.29,[ 7.01 15.22],[4686.57 5581.22],1.1102230246251565e-16,1730540198.1277223,78553.16063956764,78684.23114198091,-39256.58031978382,"[ -6.73241711  -6.75366205  -6.27848047 ... -19.5600667   -7.66036124
  -7.48508354]",3057.7219739258226,"[ 526.19614347  499.55329465  542.43778606 ... 4686.82340886 4266.54701619
 4478.69544445]"
39,nb,10,2558.65,3046.05,[ 7.01 15.12],[4663.54 5604.7 ],1.1102230246251565e-16,1729422235.5658274,78550.40585703895,78694.58340969354,-39253.20292851947,"[ -6.7298098   -6.78952607  -6.28989876 ... -19.37658618  -7.66713096
  -7.49133714]",3057.7254100620903,"[ 526.85425808  489.74557031  554.76843231 ... 4663.26558042 4271.7349353
 4487.61137184]"
40,zero_nb,1,2383.32,3527.83,[13.21],[5911.15],1.1102230246251565e-16,6459406736.895962,85540.45306957759,85560.11364493959,-42767.226534788795,"[-7.28101196 -7.30634733 -7.66182669 ... -7.75475241 -8.9308816
 -8.74843712]",3057.686966722237,"[1146.02278193 1164.29627169 1249.46170302 ... 2482.13790997 5671.59890277
 5903.26986908]"
41,zero_nb,2,2360.01,2937.56,[ 9.21 16.32],[4646.3  5297.57],1.1102230246251565e-16,2921565402.762281,81199.12166009098,81231.8892856943,-40594.56083004549,"[ -6.83416947  -6.70658791  -7.22635208 ... -10.51089716  -7.76748921
  -7.65037685]",3057.6875404845077,"[ 582.39837183  671.89664352  900.25716002 ... 3752.76327487 4279.70772905
 4354.52719522]"
42,zero_nb,3,2558.51,3010.68,[ 7.81 15.02],[4753.2  5569.19],1.1102230246251565e-16,2048752733.9690099,79328.66543629124,79374.54011213589,-39657.33271814562,"[ -7.0096766   -6.89898542  -6.49760072 ... -15.98513069  -7.49408183
  -7.67923485]",3057.6872395753653,"[ 464.92556289  473.76574953  646.21148547 ... 4429.14312335 4058.81635494
 4654.42231501]"
43,zero_nb,4,2489.73,2585.19,[ 7.21  9.61 14.11 16.72],[4685.22 3877.79 5074.92 4926.58],1.1102230246251565e-16,4744824556.795347,80565.73085158602,80624.71257767199,-40273.86542579301,"[ -8.50641226  -7.22730932  -6.31755879 ... -18.1422021   -7.74660177
  -7.76956768]",2744.2740598193354,"[  99.73427385  371.98581325  551.09526573 ... 4616.11889394 4327.55612231
 4747.80914088]"
44,zero_nb,5,2600.0,3041.02,[ 7.11 15.42],[4654.76 5641.03],1.1102230246251565e-16,1771272155.3169854,78677.39187311113,78749.48064943844,-39327.69593655557,"[ -6.67995901  -6.97782718  -6.2649913  ... -19.13502487  -7.62738391
  -7.46095617]",3057.389693876705,"[ 538.31171237  442.00774839  508.54928106 ... 4644.18514873 4240.32898967
 4440.73664864]"
45,zero_nb,6,2454.49,2647.97,[ 7.01 14.41],[4685.18 5102.45],1.1102230246251565e-16,13673539121.76895,83671.75084245038,83756.946669019,-41822.87542122519,"[ -7.68344481  -7.48508878  -6.66412812 ... -20.33828421  -8.14561996
  -7.5691465 ]",2075.245366470654,"[ 200.33565902  254.55681253  352.75544248 ... 4684.60597597 2386.62440559
 4034.30099787]"
46,zero_nb,7,1568.95,1896.84,[ 6.41  9.71 14.81 19.02],[3193.81 2701.92 3465.79 2928.33],1.1102230246251565e-16,17077399972.397827,84674.78901600285,84773.09189281281,-42322.394508001424,"[ -7.18139373  -7.4369713   -6.53376697 ... -18.34180663  -8.53608098
  -8.21875821]",1686.5297932462934,"[ 333.45108701  331.3113738   361.94120625 ... 2771.98013285 1549.67749702
 2262.09353608]"
47,zero_nb,8,2367.95,2605.84,[ 6.51  9.31 15.62],[3920.03 3770.34 4973.79],1.1102230246251565e-16,10604361228.334375,84226.17892536672,84337.588852418,-42096.08946268336,"[ -7.62104559  -7.57024632  -7.18701049 ... -18.43980889  -8.77304748
  -7.9388585 ]",2022.2447354753422,"[ 272.85401296  257.54638081  387.59680561 ... 3517.69485889 2890.05443434
 2693.10031804]"
48,zero_nb,9,1735.74,1927.23,[ 6.61  8.91 12.01 14.31 17.02],[3353.9  3358.79 3662.97 3462.7  3263.05],1.1102230246251565e-16,11725447369.628828,84635.45767823703,84759.97465552963,-42298.728839118514,"[ -7.15515145  -7.20747528  -6.90673581 ... -21.30558302  -8.36760633
  -7.96197355]",1907.2872001012909,"[ 347.13881256  337.10573022  325.06016215 ... 3097.69881889 3663.63582614
 2976.82412773]"
49,zero_nb,10,1889.37,2191.99,[ 6.61  8.61 14.61 17.22],[3235.89 3107.38 4081.36 3062.7 ],1.1102230246251565e-16,10407875061.068466,84714.67716411209,84852.30119164602,-42336.33858205604,"[ -7.35384692  -7.34094342  -6.90594915 ... -18.03688081  -7.83321109
  -8.1750729 ]",1918.3858284742632,"[ 320.03944069  312.02078885  322.64335569 ... 3059.42785191 2894.97073145
 2957.75437962]"
